Day,Book 0,Book 1,Book 2,Book 3,Book 4,Book 5,Book 6,Book 7,Book 8,Book 9,Book 10
0,17806,0,0,0,0,0,0,0,0,0,0
1,19834,276,0,0,0,0,0,0,0,0,0
2,17763,1391,0,0,0,0,0,0,0,0,0
3,27558,3427,299601,0,0,0,0,0,0,0,0
4,38371,4591,0,0,0,0,0,0,0,0,0
5,19829,5259,0,169526,0,0,0,0,0,0,0
6,30876,998,0,0,60962,0,0,0,0,0,0
7,0,130,0,49500,71148,0,0,0,0,0,0
8,0,0,0,127144,47738,0,0,0,0,0,0
9,0,2620,0,0,145029,73413,0,0,0,0,0
10,0,5359,0,0,0,142827,14305,2169,0,0,0
11,0,2382,0,0,0,11796,14259,0,0,0,0
12,0,2413,0,0,0,0,10953,800,0,0,0
13,0,2160,0,0,0,0,1453,8089,0,0,0
14,0,0,0,0,0,0,21857,3311,228927,0,0
15,0,5579,0,0,0,0,13095,309,0,0,0
16,0,84,0,0,0,0,16456,3446,61242,232726,0
17,0,1577,0,0,0,0,0,5405,121510,273738,0
18,0,3286,0,0,0,0,0,2798,100262,149906,0
19,0,2248,0,0,0,0,0,6434,115454,176443,30535
20,0,760,0,0,0,0,0,2359,0,159707,13512
21,0,2620,0,0,0,0,0,4563,0,73796,40261
22,0,6809,0,0,0,0,0,3835,0,199426,2194
23,0,1894,0,0,0,0,0,5099,0,291116,45383
24,0,1178,0,0,0,0,0,0,0,204038,59205
25,0,4631,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0
27,0,4382,0,0,0,0,0,0,0,0,0
28,0,1308,0,0,0,0,0,0,0,0,0
29,0,4036,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0
31,0,1105,0,0,0,0,0,0,0,0,0
32,0,6721,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,1688,0,0,0,0,0,0,0,0,0
35,0,2569,0,0,0,0,0,0,0,0,0
36,0,4770,0,0,0,0,0,0,0,0,0
37,0,4710,0,0,0,0,0,0,0,0,0
38,0,1726,0,0,0,0,0,0,0,0,0
39,0,1900,0,0,0,0,0,0,0,0,0
40,0,5366,0,0,0,0,0,0,0,0,0
41,0,445,0,0,0,0,0,0,0,0,0
42,0,1014,0,0,0,0,0,0,0,0,0
43,0,2129,0,0,0,0,0,0,0,0,0
44,0,4135,0,0,0,0,0,0,0,0,0
45,0,4593,0,0,0,0,0,0,0,0,0
46,0,2662,0,0,0,0,0,0,0,0,0
47,0,3716,0,0,0,0,0,0,0,0,0
48,0,5296,0,0,0,0,0,0,0,0,0
49,0,2775,0,0,0,0,0,0,0,0,0
50,0,4654,0,0,0,0,0,0,0,0,0
51,0,6115,0,0,0,0,0,0,0,0,0
52,0,1580,0,0,0,0,0,0,0,0,0
53,0,5219,0,0,0,0,0,0,0,0,0
